hyphae,segments,active_tips,passive_tips,anastomosed,branches,total_length_mm,step
91,151,91,60,0,85,7.548732828698622,0
130,281,120,151,10,124,14.04758388334774,1
184,455,154,271,30,178,22.739209673122453,2
245,660,194,415,51,239,32.984499365348285,3
293,829,225,536,68,287,41.43087723890302,4
318,946,238,628,80,312,47.27926628912806,5
322,981,232,659,90,316,49.020818260252206,6
322,1002,232,680,90,316,50.070818260252146,7
327,1036,236,709,91,321,51.771775687901965,8
333,1071,241,738,92,327,53.522091039484465,9
334,1084,237,750,97,328,54.17614180538904,10
341,1117,244,776,97,335,55.82614180538895,11
352,1163,254,811,98,346,58.12616644488519,12
361,1214,259,853,102,355,60.675021937784784,13
362,1232,257,870,105,356,61.5781618427727,14
366,1253,261,887,105,360,62.62816184277265,15
382,1318,274,936,108,376,65.883206710225,16
390,1372,276,982,114,384,68.58309811658526,17
393,1396,275,1003,118,387,69.78267381645392,18
400,1434,281,1034,119,394,71.68208070280865,19
412,1487,291,1075,121,406,74.33175108596897,20
424,1535,297,1111,127,418,76.73134128888266,21
435,1581,308,1146,127,429,79.03114740352396,22
444,1621,314,1177,130,438,81.03066532709497,23
454,1661,321,1207,133,448,83.02807089447506,24
