step, runtime_s
1, 0.021181
2, 0.019227
3, 0.023637
4, 0.018639
5, 0.022221
6, 0.019478
7, 0.022584
8, 0.017751
9, 0.021181
10, 0.024907
11, 0.020374
12, 0.016544
13, 0.018541
14, 0.021381
15, 0.018519
16, 0.019506
17, 0.019212
18, 0.020255
19, 0.017153
20, 0.020809
21, 0.019619
22, 0.020326
23, 0.019980
24, 0.018486
25, 0.019381
26, 0.019930
27, 0.019788
28, 0.016752
29, 0.021493
30, 0.019149
31, 0.020788
32, 0.021591
33, 0.020177
34, 0.018774
35, 0.027224
36, 0.019408
37, 0.019974
38, 0.027926
39, 0.024998
40, 0.018231
