hyphae,segments,active_tips,passive_tips,anastomosed,branches,total_length_mm,step
371,621,348,250,23,346,31.048833413873517,0
434,982,388,548,46,409,49.09721504697211,1
435,1051,386,616,49,410,52.54656765363674,2
435,1108,386,673,49,410,55.39656765363658,3
436,1111,387,675,49,411,55.54656765363657,4
436,1112,387,676,49,411,55.59656765363657,5
436,1112,387,676,49,411,55.59656765363657,6
436,1113,387,677,49,411,55.64656765363656,7
436,1175,387,739,49,411,58.74656765363639,8
436,1178,387,742,49,411,58.89656765363638,9
436,1179,387,743,49,411,58.94656765363638,10
436,1180,387,744,49,411,58.996567653636376,11
436,1181,387,745,49,411,59.04656765363637,12
436,1244,387,808,49,411,62.196567653636194,13
436,1247,387,811,49,411,62.346567653636185,14
436,1249,387,813,49,411,62.44656765363618,15
436,1363,386,927,50,411,68.1457668584313,16
436,1366,386,930,50,411,68.2957668584313,17
436,1370,386,934,50,411,68.4957668584313,18
437,1434,385,997,52,412,71.69569469539738,19
438,1437,386,999,52,413,71.84569469539737,20
438,1489,386,1051,52,413,74.44569469539724,21
473,1588,413,1115,60,448,79.39565272507761,22
474,1624,413,1150,61,449,81.19477708971442,23
474,1677,411,1203,63,449,83.84534567049967,24
488,1822,415,1334,73,463,91.0930184520206,25
511,1899,435,1388,76,486,94.9428861125195,26
513,1975,433,1462,80,488,98.7426510127106,27
513,1977,433,1464,80,488,98.84265101271059,28
526,2021,445,1495,81,501,101.04273225955504,29
546,2149,457,1603,89,521,107.44305348921667,30
554,2208,460,1654,94,529,110.39314890518652,31
554,2223,460,1669,94,529,111.14314890518648,32
580,2300,486,1720,94,555,114.99314890518626,33
608,2408,499,1800,109,583,120.39140702170516,34
625,2473,515,1848,110,600,123.6414115612041,35
631,2605,517,1974,114,606,130.2424702335548,36
652,2671,535,2019,117,627,133.54140598589197,37
670,2755,552,2085,118,645,137.74199088730342,38
688,2826,562,2138,126,663,141.29193791509914,39
706,2881,572,2175,134,681,144.04211871835255,40
721,3034,583,2313,138,696,151.69117865846795,41
746,3118,604,2372,142,721,155.89123024534297,42
758,3185,615,2427,143,733,159.24189696466505,43
771,3235,624,2464,147,746,161.74089027783126,44
776,3273,629,2497,147,751,163.6408902778317,45
797,3438,635,2641,162,772,171.88981519133083,46
811,3513,644,2702,167,786,175.63884357971673,47
821,3564,650,2743,171,796,178.18842163343976,48
874,3740,683,2866,191,849,186.98765945920385,49
887,3826,692,2939,195,862,191.28832722940092,50
905,3891,700,2986,205,880,194.53772941627253,51
942,4009,732,3067,210,917,200.43684570396067,52
951,4112,734,3161,217,926,205.5848785120236,53
959,4145,740,3186,219,934,207.23486886720022,54
981,4219,758,3238,223,956,210.93369461650664,55
1022,4375,782,3353,240,997,218.73347131460918,56
1041,4482,793,3441,248,1016,224.0841696222483,57
1049,4528,800,3479,249,1024,226.3836847787025,58
1076,4599,819,3523,257,1051,229.9349366814794,59
1111,4729,843,3618,268,1086,236.43453260895333,60
1140,4858,862,3718,278,1115,242.88460588970716,61
1150,4913,870,3763,280,1125,245.6345909262906,62
