step,solver,pc,trial,runtime_ms
0,cg,jacobi,1,10.8493
0,cg,jacobi,2,0.324558
0,cg,jacobi,3,0.310206
0,cg,jacobi,4,0.303548
0,cg,jacobi,5,0.307302
0,cg,sor,1,3.9441
0,cg,sor,2,0.403253
0,cg,sor,3,0.394863
0,cg,sor,4,0.398972
0,cg,sor,5,0.399401
0,cg,ilu,1,5.47221
0,cg,ilu,2,2.27857
0,cg,ilu,3,2.13237
0,cg,ilu,4,1.99249
0,cg,ilu,5,1.96371
0,cg,icc,1,4.6045
0,cg,icc,2,1.84107
0,cg,icc,3,1.86905
0,cg,icc,4,1.87045
0,cg,icc,5,1.82001
0,cg,gamg,1,64.0973
0,cg,gamg,2,43.6275
0,cg,gamg,3,43.7334
0,cg,gamg,4,45.5264
0,cg,gamg,5,45.2426
0,bcgs,jacobi,1,0.675045
0,bcgs,jacobi,2,0.35283
0,bcgs,jacobi,3,0.320995
0,bcgs,jacobi,4,0.314358
0,bcgs,jacobi,5,0.328455
0,bcgs,sor,1,0.441145
0,bcgs,sor,2,0.410416
0,bcgs,sor,3,0.394721
0,bcgs,sor,4,0.43127
0,bcgs,sor,5,0.405149
0,bcgs,ilu,1,4.30339
0,bcgs,ilu,2,2.44578
0,bcgs,ilu,3,2.28436
0,bcgs,ilu,4,2.23009
0,bcgs,ilu,5,2.25582
0,bcgs,icc,1,2.00847
0,bcgs,icc,2,1.97318
0,bcgs,icc,3,2.0076
0,bcgs,icc,4,1.94166
0,bcgs,icc,5,1.96569
0,bcgs,gamg,1,46.0052
0,bcgs,gamg,2,46.249
0,bcgs,gamg,3,46.6132
0,bcgs,gamg,4,47.4166
0,bcgs,gamg,5,46.0897
0,gmres,jacobi,1,0.794742
0,gmres,jacobi,2,0.453225
0,gmres,jacobi,3,0.408789
0,gmres,jacobi,4,0.379411
0,gmres,jacobi,5,0.408289
0,gmres,sor,1,0.530455
0,gmres,sor,2,0.49056
0,gmres,sor,3,0.45603
0,gmres,sor,4,0.455227
0,gmres,sor,5,0.470065
0,gmres,ilu,1,4.03224
0,gmres,ilu,2,2.5541
0,gmres,ilu,3,2.34628
0,gmres,ilu,4,2.33798
0,gmres,ilu,5,2.31318
0,gmres,icc,1,2.12047
0,gmres,icc,2,2.03327
0,gmres,icc,3,2.03545
0,gmres,icc,4,2.00516
0,gmres,icc,5,2.07284
0,gmres,gamg,1,45.9268
0,gmres,gamg,2,46.3051
0,gmres,gamg,3,45.6072
0,gmres,gamg,4,45.701
0,gmres,gamg,5,49.7816
1,cg,jacobi,1,303.739
1,cg,jacobi,2,328.234
1,cg,jacobi,3,327.237
1,cg,jacobi,4,332.618
1,cg,jacobi,5,339.256
1,cg,sor,1,168.715
1,cg,sor,2,164.962
1,cg,sor,3,167.848
1,cg,sor,4,170.128
1,cg,sor,5,172.547
1,cg,ilu,1,219.382
1,cg,ilu,2,194.587
1,cg,ilu,3,199.689
1,cg,ilu,4,195.335
1,cg,ilu,5,230.411
1,cg,icc,1,166.743
1,cg,icc,2,160.901
1,cg,icc,3,159.424
1,cg,icc,4,156.347
1,cg,icc,5,158.739
