step,solver,pc,trial,runtime_ms
0,cg,jacobi,1,4.00736
0,cg,jacobi,2,0.32173
0,cg,jacobi,3,0.307288
0,cg,jacobi,4,0.308786
0,cg,jacobi,5,0.303283
0,cg,sor,1,4.05926
0,cg,sor,2,0.403204
0,cg,sor,3,0.397217
0,cg,sor,4,0.403502
0,cg,sor,5,0.401843
0,cg,ilu,1,5.35049
0,cg,ilu,2,1.97134
0,cg,ilu,3,1.83357
0,cg,ilu,4,1.8201
0,cg,ilu,5,1.82003
0,cg,icc,1,4.37603
0,cg,icc,2,1.79523
0,cg,icc,3,1.77217
0,cg,icc,4,1.79146
0,cg,icc,5,1.76746
0,cg,gamg,1,61.622
0,cg,gamg,2,42.2079
0,cg,gamg,3,42.9021
0,cg,gamg,4,42.5394
0,cg,gamg,5,42.6237
0,bcgs,jacobi,1,0.405268
0,bcgs,jacobi,2,0.294557
0,bcgs,jacobi,3,0.279604
0,bcgs,jacobi,4,0.279607
0,bcgs,jacobi,5,0.273547
0,bcgs,sor,1,0.388399
0,bcgs,sor,2,0.372503
0,bcgs,sor,3,0.372427
0,bcgs,sor,4,0.371962
0,bcgs,sor,5,0.370873
0,bcgs,ilu,1,3.59415
0,bcgs,ilu,2,1.85546
0,bcgs,ilu,3,1.78992
0,bcgs,ilu,4,1.78349
0,bcgs,ilu,5,1.78277
0,bcgs,icc,1,1.77223
0,bcgs,icc,2,1.74297
0,bcgs,icc,3,1.72758
0,bcgs,icc,4,1.73919
0,bcgs,icc,5,1.74465
0,bcgs,gamg,1,43.8693
0,bcgs,gamg,2,43.2614
0,bcgs,gamg,3,43.2159
0,bcgs,gamg,4,43.301
0,bcgs,gamg,5,43.066
0,gmres,jacobi,1,0.936177
0,gmres,jacobi,2,0.362237
0,gmres,jacobi,3,0.340031
0,gmres,jacobi,4,0.322048
0,gmres,jacobi,5,0.317945
0,gmres,sor,1,0.440128
0,gmres,sor,2,0.426335
0,gmres,sor,3,0.420364
0,gmres,sor,4,0.418572
0,gmres,sor,5,0.410954
0,gmres,ilu,1,3.51253
0,gmres,ilu,2,1.91803
0,gmres,ilu,3,1.85997
0,gmres,ilu,4,1.83898
0,gmres,ilu,5,1.82961
0,gmres,icc,1,1.82653
0,gmres,icc,2,1.78231
0,gmres,icc,3,1.78507
0,gmres,icc,4,1.77493
0,gmres,icc,5,1.77788
0,gmres,gamg,1,43.8601
0,gmres,gamg,2,43.6482
0,gmres,gamg,3,43.8891
0,gmres,gamg,4,44.0397
0,gmres,gamg,5,43.8726
step,solver,pc,trial,runtime_ms
1,cg,jacobi,1,234.043
1,cg,jacobi,2,229.824
1,cg,jacobi,3,229.829
1,cg,jacobi,4,229.801
1,cg,jacobi,5,229.905
1,cg,sor,1,129.209
1,cg,sor,2,128.282
1,cg,sor,3,128.39
1,cg,sor,4,128.382
1,cg,sor,5,128.378
1,cg,ilu,1,142.276
1,cg,ilu,2,125.097
1,cg,ilu,3,123.887
1,cg,ilu,4,121.879
1,cg,ilu,5,121.045
1,cg,icc,1,120.909
1,cg,icc,2,120.983
1,cg,icc,3,120.805
1,cg,icc,4,121.282
1,cg,icc,5,121.104
1,cg,gamg,1,588.302
1,cg,gamg,2,592.838
1,cg,gamg,3,598.894
1,cg,gamg,4,601.058
1,cg,gamg,5,601.403
1,bcgs,jacobi,1,297.634
1,bcgs,jacobi,2,296.501
1,bcgs,jacobi,3,296.56
1,bcgs,jacobi,4,298.927
1,bcgs,jacobi,5,297.627
1,bcgs,sor,1,198.889
1,bcgs,sor,2,198.3
1,bcgs,sor,3,200.09
1,bcgs,sor,4,198.861
1,bcgs,sor,5,198.994
1,bcgs,ilu,1,158.324
1,bcgs,ilu,2,145.032
1,bcgs,ilu,3,142.98
1,bcgs,ilu,4,142.84
1,bcgs,ilu,5,143.751
1,bcgs,icc,1,157.293
1,bcgs,icc,2,157.41
1,bcgs,icc,3,157.686
1,bcgs,icc,4,156.388
1,bcgs,icc,5,156.876
1,bcgs,gamg,1,737.101
1,bcgs,gamg,2,737.218
1,bcgs,gamg,3,740.257
1,bcgs,gamg,4,742.59
1,bcgs,gamg,5,741.144
1,gmres,jacobi,1,644.575
1,gmres,jacobi,2,643.45
1,gmres,jacobi,3,643.862
1,gmres,jacobi,4,643.427
1,gmres,jacobi,5,643.83
1,gmres,sor,1,313.372
1,gmres,sor,2,312.353
1,gmres,sor,3,312.369
1,gmres,sor,4,312.427
1,gmres,sor,5,313.815
1,gmres,ilu,1,309.573
1,gmres,ilu,2,309.207
1,gmres,ilu,3,310.184
1,gmres,ilu,4,316.193
1,gmres,ilu,5,308.675
1,gmres,icc,1,280.552
1,gmres,icc,2,280.304
1,gmres,icc,3,280.478
1,gmres,icc,4,280.459
1,gmres,icc,5,280.434
1,gmres,gamg,1,727.567
1,gmres,gamg,2,726.25
1,gmres,gamg,3,726.3
1,gmres,gamg,4,726.305
1,gmres,gamg,5,726.806
step,solver,pc,trial,runtime_ms
2,cg,jacobi,1,215.588
2,cg,jacobi,2,215.886
2,cg,jacobi,3,217.634
2,cg,jacobi,4,216.341
2,cg,jacobi,5,216.298
2,cg,sor,1,124.883
2,cg,sor,2,123.868
2,cg,sor,3,123.919
2,cg,sor,4,123.963
2,cg,sor,5,124.149
2,cg,ilu,1,136.135
2,cg,ilu,2,121.145
2,cg,ilu,3,118.551
2,cg,ilu,4,118.311
2,cg,ilu,5,118.329
2,cg,icc,1,117.283
2,cg,icc,2,117.04
2,cg,icc,3,117.104
2,cg,icc,4,117.071
2,cg,icc,5,117.343
2,cg,gamg,1,577.934
2,cg,gamg,2,584.623
2,cg,gamg,3,589.784
2,cg,gamg,4,592.339
2,cg,gamg,5,595.431
2,bcgs,jacobi,1,294.375
2,bcgs,jacobi,2,293.594
2,bcgs,jacobi,3,294.11
2,bcgs,jacobi,4,293.948
2,bcgs,jacobi,5,293.924
2,bcgs,sor,1,197.902
2,bcgs,sor,2,198.132
2,bcgs,sor,3,197.63
2,bcgs,sor,4,197.565
2,bcgs,sor,5,197.615
2,bcgs,ilu,1,156.075
2,bcgs,ilu,2,144.827
2,bcgs,ilu,3,142.046
2,bcgs,ilu,4,142.715
2,bcgs,ilu,5,141.189
2,bcgs,icc,1,156.589
2,bcgs,icc,2,156.853
2,bcgs,icc,3,157.709
2,bcgs,icc,4,155.319
2,bcgs,icc,5,155.492
2,bcgs,gamg,1,734.239
2,bcgs,gamg,2,735.491
2,bcgs,gamg,3,735.798
2,bcgs,gamg,4,737.273
2,bcgs,gamg,5,735.476
2,gmres,jacobi,1,641.711
2,gmres,jacobi,2,639.121
2,gmres,jacobi,3,639.036
2,gmres,jacobi,4,639.099
2,gmres,jacobi,5,638.995
2,gmres,sor,1,308.703
2,gmres,sor,2,308.663
2,gmres,sor,3,308.353
2,gmres,sor,4,308.567
2,gmres,sor,5,308.407
2,gmres,ilu,1,306.402
2,gmres,ilu,2,306.494
2,gmres,ilu,3,306.339
2,gmres,ilu,4,304.585
2,gmres,ilu,5,304.642
2,gmres,icc,1,279.927
2,gmres,icc,2,279.887
2,gmres,icc,3,279.738
2,gmres,icc,4,280.285
2,gmres,icc,5,279.745
2,gmres,gamg,1,724.465
2,gmres,gamg,2,723.068
2,gmres,gamg,3,727.513
2,gmres,gamg,4,725.784
2,gmres,gamg,5,730.012
step,solver,pc,trial,runtime_ms
3,cg,jacobi,1,222.941
3,cg,jacobi,2,223.191
3,cg,jacobi,3,222.751
3,cg,jacobi,4,223.133
3,cg,jacobi,5,223.252
3,cg,sor,1,126.403
3,cg,sor,2,125.841
3,cg,sor,3,125.921
3,cg,sor,4,125.831
3,cg,sor,5,125.993
3,cg,ilu,1,141.5
3,cg,ilu,2,125.374
3,cg,ilu,3,121.904
3,cg,ilu,4,120.688
3,cg,ilu,5,120.587
3,cg,icc,1,119.694
3,cg,icc,2,119.738
3,cg,icc,3,119.836
3,cg,icc,4,119.924
3,cg,icc,5,120.054
3,cg,gamg,1,589.719
3,cg,gamg,2,595.021
3,cg,gamg,3,599.934
3,cg,gamg,4,604.108
3,cg,gamg,5,609.901
3,bcgs,jacobi,1,274.485
3,bcgs,jacobi,2,273.686
3,bcgs,jacobi,3,273.597
3,bcgs,jacobi,4,273.999
3,bcgs,jacobi,5,273.859
3,bcgs,sor,1,206.251
3,bcgs,sor,2,206.071
3,bcgs,sor,3,206.223
3,bcgs,sor,4,206.414
3,bcgs,sor,5,206.402
3,bcgs,ilu,1,184.761
3,bcgs,ilu,2,169.45
3,bcgs,ilu,3,168.035
3,bcgs,ilu,4,167.191
3,bcgs,ilu,5,167.739
3,bcgs,icc,1,179.34
3,bcgs,icc,2,178.207
3,bcgs,icc,3,180.757
3,bcgs,icc,4,179.189
3,bcgs,icc,5,179.099
3,bcgs,gamg,1,711.129
3,bcgs,gamg,2,713.722
3,bcgs,gamg,3,715.128
3,bcgs,gamg,4,716.578
3,bcgs,gamg,5,717.492
3,gmres,jacobi,1,649.271
3,gmres,jacobi,2,643.584
3,gmres,jacobi,3,643.827
3,gmres,jacobi,4,643.059
3,gmres,jacobi,5,643.075
3,gmres,sor,1,310.902
3,gmres,sor,2,310.731
3,gmres,sor,3,310.607
3,gmres,sor,4,310.878
3,gmres,sor,5,310.907
3,gmres,ilu,1,309.789
3,gmres,ilu,2,308.164
3,gmres,ilu,3,307.681
3,gmres,ilu,4,306.862
3,gmres,ilu,5,306.739
3,gmres,icc,1,280.688
3,gmres,icc,2,280.637
3,gmres,icc,3,280.785
3,gmres,icc,4,280.567
3,gmres,icc,5,280.668
3,gmres,gamg,1,728.208
3,gmres,gamg,2,731.656
3,gmres,gamg,3,734.121
3,gmres,gamg,4,733.703
3,gmres,gamg,5,733.984
