step,hyphae,segments,active_tips,passive_tips,anastomosed,branches,total_length_mm
0,373,623,343,250,30,348,31.1486
1,439,976,382,537,57,414,48.7949
2,440,1035,383,595,57,415,51.7449
3,440,1096,383,656,57,415,54.7949
4,440,1099,383,659,57,415,54.9449
5,440,1099,383,659,57,415,54.9449
6,440,1100,383,660,57,415,54.9949
7,440,1101,383,661,57,415,55.0449
8,440,1157,383,717,57,415,57.8449
9,440,1158,383,718,57,415,57.8949
10,440,1160,383,720,57,415,57.9949
11,440,1161,383,721,57,415,58.0449
12,440,1161,383,721,57,415,58.0449
13,441,1218,384,777,57,416,60.8949
14,441,1220,384,779,57,416,60.9949
15,441,1222,384,781,57,416,61.0949
16,441,1336,384,895,57,416,66.7949
17,442,1340,383,898,59,417,66.9949
18,442,1343,383,901,59,417,67.1449
19,442,1398,382,956,60,417,69.8944
20,442,1400,382,958,60,417,69.9944
21,443,1463,382,1020,61,418,73.1438
22,467,1542,398,1075,69,442,77.0938
23,467,1577,396,1110,71,442,78.8431
24,468,1637,397,1169,71,443,81.8431
25,480,1767,407,1287,73,455,88.3431
26,500,1838,419,1338,81,475,91.8931
27,501,1914,416,1413,85,476,95.6941
28,502,1916,417,1414,85,477,95.7941
29,517,1960,427,1443,90,492,97.9947
30,539,2092,436,1553,103,514,104.596
31,545,2142,440,1597,105,520,107.095
32,545,2148,440,1603,105,520,107.395
33,572,2233,456,1661,116,547,111.648
34,601,2344,474,1743,127,576,117.198
35,616,2404,485,1788,131,591,120.197
36,617,2521,479,1904,138,592,126.047
37,645,2596,506,1951,139,620,129.797
38,665,2682,520,2017,145,640,134.095
39,683,2741,538,2058,145,658,137.045
40,691,2778,541,2087,150,666,138.894
41,709,2927,549,2218,160,684,146.346
42,733,3016,569,2283,164,708,150.795
43,742,3077,572,2335,170,717,153.845
44,753,3120,581,2367,172,728,155.994
45,762,3167,588,2405,174,737,158.344
46,778,3316,598,2538,180,753,165.793
47,793,3378,608,2585,185,768,168.894
48,800,3420,614,2620,186,775,170.995
49,856,3592,649,2736,207,831,179.594
50,869,3671,651,2802,218,844,183.544
51,885,3727,665,2842,220,860,186.344
52,917,3841,691,2924,226,892,192.045
53,927,3922,698,2995,229,902,196.096
54,932,3956,698,3024,234,907,197.796
55,959,4035,717,3076,242,934,201.746
56,988,4163,734,3175,254,963,208.147
57,999,4252,737,3253,262,974,212.597
58,1010,4291,741,3281,269,985,214.547
59,1024,4345,753,3321,271,999,217.247
60,1054,4458,776,3404,278,1029,222.898
61,1079,4572,792,3493,287,1054,228.597
62,1093,4632,803,3539,290,1068,231.597
63,1100,4661,809,3561,291,1075,233.047
64,1114,4719,818,3605,296,1089,235.947
65,1147,4831,845,3684,302,1122,241.547
66,1163,4912,850,3749,313,1138,245.597
67,1170,4945,857,3775,313,1145,247.247
68,1178,4978,861,3800,317,1153,248.897
69,1200,5052,880,3852,320,1175,252.597
70,1220,5140,897,3920,323,1195,256.997
71,1230,5184,903,3954,327,1205,259.197
72,1231,5201,902,3970,329,1206,260.047
73,1247,5251,914,4004,333,1222,262.546
74,1268,5332,928,4064,340,1243,266.595
75,1283,5397,939,4114,344,1258,269.844
76,1286,5417,936,4131,350,1261,270.844
77,1297,5447,946,4150,351,1272,272.345
78,1317,5513,963,4196,354,1292,275.645
79,1331,5574,976,4243,355,1306,278.694
80,1337,5607,977,4270,360,1312,280.344
81,1345,5631,980,4286,365,1320,281.544
82,1358,5673,988,4315,370,1333,283.645
83,1370,5726,998,4356,372,1345,286.295
84,1379,5765,1003,4386,376,1354,288.244
85,1380,5779,1004,4399,376,1355,288.944
86,1384,5798,1006,4414,378,1359,289.894
87,1398,5842,1018,4444,380,1373,292.094
88,1410,5889,1028,4479,382,1385,294.442
89,1415,5914,1033,4499,382,1390,295.692
90,1421,5929,1037,4508,384,1396,296.442
91,1429,5957,1043,4528,386,1404,297.842
92,1441,5999,1050,4558,391,1416,299.942
93,1448,6035,1053,4587,395,1423,301.742
94,1450,6051,1055,4601,395,1425,302.542
95,1457,6067,1060,4610,397,1432,303.342
96,1464,6097,1061,4633,403,1439,304.842
97,1473,6136,1068,4663,405,1448,306.792
98,1477,6161,1072,4684,405,1452,308.042
99,1479,6168,1073,4689,406,1454,308.392
100,1485,6182,1078,4697,407,1460,309.092
101,1495,6217,1086,4722,409,1470,310.842
102,1499,6244,1090,4745,409,1474,312.192
103,1501,6257,1091,4756,410,1476,312.842
104,1503,6267,1093,4764,410,1478,313.342
105,1506,6284,1096,4778,410,1481,314.192
106,1515,6314,1104,4799,411,1490,315.692
107,1517,6335,1106,4818,411,1492,316.742
108,1519,6346,1108,4827,411,1494,317.292
109,1523,6359,1112,4836,411,1498,317.942
110,1528,6382,1115,4854,413,1503,319.092
111,1537,6408,1118,4871,419,1512,320.392
112,1539,6421,1120,4882,419,1514,321.042
113,1541,6429,1120,4888,421,1516,321.442
114,1544,6439,1123,4895,421,1519,321.942
115,1548,6459,1125,4911,423,1523,322.941
116,1551,6475,1127,4924,424,1526,323.741
117,1551,6483,1127,4932,424,1526,324.141
118,1553,6491,1129,4938,424,1528,324.541
119,1557,6505,1131,4948,426,1532,325.241
120,1560,6521,1134,4961,426,1535,326.041
121,1563,6535,1137,4972,426,1538,326.741
122,1565,6540,1139,4975,426,1540,326.991
123,1567,6548,1141,4981,426,1542,327.391
124,1573,6566,1147,4993,426,1548,328.291
125,1576,6585,1150,5009,426,1551,329.241
126,1578,6595,1152,5017,426,1553,329.741
127,1580,6603,1152,5023,428,1555,330.141
128,1582,6612,1154,5030,428,1557,330.591
129,1587,6627,1159,5040,428,1562,331.341
130,1589,6640,1161,5051,428,1564,331.991
131,1590,6646,1159,5056,431,1565,332.291
132,1591,6650,1160,5059,431,1566,332.491
133,1598,6666,1163,5068,435,1573,333.291
134,1602,6681,1164,5079,438,1577,334.041
135,1604,6688,1164,5084,440,1579,334.391
136,1606,6693,1166,5087,440,1581,334.641
137,1609,6701,1169,5092,440,1584,335.041
138,1612,6711,1170,5099,442,1587,335.54
139,1614,6718,1172,5104,442,1589,335.89
140,1616,6722,1174,5106,442,1591,336.09
141,1618,6729,1176,5111,442,1593,336.44
142,1620,6737,1178,5117,442,1595,336.84
143,1621,6744,1179,5123,442,1596,337.19
144,1623,6750,1181,5127,442,1598,337.49
145,1624,6754,1180,5130,444,1599,337.69
146,1626,6760,1182,5134,444,1601,337.99
