x1,y1,x2,y2,intensity
-1,-1,-1.03211,-1.03833,7.64059e-08
-1.03211,-1.03833,-1.06724,-1.0739,0
-1.06724,-1.0739,-1.09608,-1.11475,1e-07
-1.09608,-1.11475,-1.12864,-1.15269,0
-1.12864,-1.15269,-1.16804,-1.18348,1e-07
-1.16804,-1.18348,-1.21041,-1.21003,0
-1.21041,-1.21003,-1.25571,-1.2312,1e-07
-1.25571,-1.2312,-1.29797,-1.25791,0
-1.29797,-1.25791,-1.34458,-1.27602,1e-07
-1.34458,-1.27602,-1.39223,-1.29116,0
-1.39223,-1.29116,-1.44124,-1.30109,1e-07
-1.44124,-1.30109,-1.49123,-1.30149,0
-1.49123,-1.30149,-1.54053,-1.2931,1e-07
-1.54053,-1.2931,-1.58911,-1.28127,0
-1.58911,-1.28127,-1.63845,-1.2732,1e-07
-1.63845,-1.2732,-1.68824,-1.26865,0
-1.68824,-1.26865,-1.73814,-1.2655,1e-07
-1.73814,-1.2655,-1.78787,-1.27071,0
-1.78787,-1.27071,-1.83769,-1.27493,1e-07
-1.83769,-1.27493,-1.88685,-1.28409,0
-1.88685,-1.28409,-1.93608,-1.2928,1e-07
-1.93608,-1.2928,-1.98568,-1.2991,0
-1.98568,-1.2991,-2.03464,-1.30928,1e-07
-2.03464,-1.30928,-2.08456,-1.31197,0
-2.08456,-1.31197,-2.1343,-1.31704,7.6398e-08
-1,-1,-0.967235,-0.962231,2.35941e-08
-0.967235,-0.962231,-0.935234,-0.923814,1e-07
-0.935234,-0.923814,-0.904999,-0.883991,0
-0.904999,-0.883991,-0.876542,-0.842879,1e-07
-0.876542,-0.842879,-0.841577,-0.807137,0
-0.841577,-0.807137,-0.814053,-0.765395,1e-07
-0.814053,-0.765395,-0.792238,-0.720405,0
-0.792238,-0.720405,-0.764369,-0.678895,7.6403e-08
-1,-1,-0.958482,-0.972138,7.64059e-08
-0.958482,-0.972138,-0.91216,-0.953316,0
-0.91216,-0.953316,-0.865868,-0.934421,1e-07
-0.865868,-0.934421,-0.81629,-0.927937,0
-0.81629,-0.927937,-0.766659,-0.921876,1e-07
-0.766659,-0.921876,-0.718497,-0.908442,0
-0.718497,-0.908442,-0.670078,-0.895971,1e-07
-0.670078,-0.895971,-0.621371,-0.884674,0
-0.621371,-0.884674,-0.572636,-0.873495,1e-07
-0.572636,-0.873495,-0.522793,-0.869542,0
-0.522793,-0.869542,-0.474099,-0.858189,1e-07
-0.474099,-0.858189,-0.428148,-0.838477,0
-0.428148,-0.838477,-0.380678,-0.822773,1e-07
-0.380678,-0.822773,-0.333986,-0.804891,0
-0.333986,-0.804891,-0.285943,-0.791036,1e-07
-0.285943,-0.791036,-0.237342,-0.779295,0
-0.237342,-0.779295,-0.187353,-0.780359,1e-07
-0.187353,-0.780359,-0.137942,-0.783862,2.31872e-08
-1,-1,-1.03488,-0.964179,2.35941e-08
-1.03488,-0.964179,-1.06565,-0.924765,1e-07
-1.06565,-0.924765,-1.08521,-0.878749,0
-1.08521,-0.878749,-1.09538,-0.829794,1e-07
-1.09538,-0.829794,-1.10251,-0.780306,0
-1.10251,-0.780306,-1.11404,-0.731653,1e-07
-1.11404,-0.731653,-1.11863,-0.681864,0
-1.11863,-0.681864,-1.12328,-0.632081,1e-07
-1.12328,-0.632081,-1.12856,-0.582361,0
-1.12856,-0.582361,-1.14635,-0.53563,1e-07
-1.14635,-0.53563,-1.16176,-0.488064,0
-1.16176,-0.488064,-1.1788,-0.441058,1e-07
-1.1788,-0.441058,-1.18645,-0.391647,0
-1.18645,-0.391647,-1.18944,-0.341737,1e-07
-1.18944,-0.341737,-1.19121,-0.291768,0
-1.19121,-0.291768,-1.20577,-0.243935,1e-07
-1.20577,-0.243935,-1.22477,-0.197687,0
-1.22477,-0.197687,-1.24866,-0.153764,1e-07
-1.24866,-0.153764,-1.27396,-0.110638,0
-1.27396,-0.110638,-1.30474,-0.0712324,3.88261e-08
-1.30474,-0.0712324,-1.33489,-0.0313497,7.05441e-10
-1,-1,-1.03858,-0.968194,1.49664e-08
-1.03858,-0.968194,-1.07049,-0.929821,1.4938e-08
-1,-1,-1.04945,-1.00742,2.35941e-08
-1.04945,-1.00742,-1.09895,-1.01445,1e-07
-1.09895,-1.01445,-1.1489,-1.01675,0
-1.1489,-1.01675,-1.19864,-1.01171,1e-07
-1.19864,-1.01171,-1.24862,-1.01333,0
-1.24862,-1.01333,-1.2969,-1.02631,1e-07
-1.2969,-1.02631,-1.34408,-1.04287,0
-1.34408,-1.04287,-1.39366,-1.04929,1e-07
-1.39366,-1.04929,-1.4435,-1.05336,0
-1.4435,-1.05336,-1.49335,-1.04947,1e-07
-1.49335,-1.04947,-1.54334,-1.04856,0
-1.54334,-1.04856,-1.59254,-1.03963,1e-07
-1.59254,-1.03963,-1.64092,-1.02701,0
-1.64092,-1.02701,-1.6909,-1.02582,1e-07
-1.6909,-1.02582,-1.74078,-1.02225,0
-1.74078,-1.02225,-1.79049,-1.02763,1e-07
-1.79049,-1.02763,-1.84045,-1.02581,0
-1.84045,-1.02581,-1.88989,-1.03328,1e-07
-1.88989,-1.03328,-1.93988,-1.03425,0
-1.93988,-1.03425,-1.98987,-1.03302,1e-07
-1.98987,-1.03302,-2.03974,-1.02948,0
-2.03974,-1.02948,-2.08703,-1.01322,1e-07
-2.08703,-1.01322,-2.13107,-0.989562,0
-2.13107,-0.989562,-2.17791,-0.972049,5.01674e-08
-2.17791,-0.972049,-2.22577,-0.957603,0
-2.22577,-0.957603,-2.26969,-0.933695,2.03473e-09
-1,-1,-1.03251,-1.03799,7.64059e-08
-1.03251,-1.03799,-1.06263,-1.0779,0
-1.06263,-1.0779,-1.09921,-1.11198,1e-07
-1.09921,-1.11198,-1.14037,-1.14038,0
-1.14037,-1.14038,-1.17775,-1.17358,1e-07
-1.17775,-1.17358,-1.21309,-1.20895,0
-1.21309,-1.20895,-1.25503,-1.23617,1e-07
-1.25503,-1.23617,-1.2894,-1.27249,0
-1.2894,-1.27249,-1.32776,-1.30455,1e-07
-1.32776,-1.30455,-1.35835,-1.34411,0
-1.35835,-1.34411,-1.39692,-1.37592,1e-07
-1.39692,-1.37592,-1.4278,-1.41525,0
-1.4278,-1.41525,-1.45874,-1.45452,1e-07
-1.45874,-1.45452,-1.48746,-1.49545,0
-1.48746,-1.49545,-1.52517,-1.52829,1e-07
-1.52517,-1.52829,-1.56622,-1.55683,0
-1.56622,-1.55683,-1.59876,-1.5948,1e-07
-1.59876,-1.5948,-1.63675,-1.6273,0
-1.63675,-1.6273,-1.67864,-1.6546,1e-07
-1.67864,-1.6546,-1.71517,-1.68874,0
-1.71517,-1.68874,-1.75792,-1.71467,3.86629e-08
-1.75792,-1.71467,-1.79552,-1.74763,0
-1.79552,-1.74763,-1.83687,-1.77574,1.36195e-09
-1,-1,-0.952882,-1.01673,7.64057e-08
-0.952882,-1.01673,-0.906856,-1.03627,0
-0.906856,-1.03627,-0.857724,-1.04554,1e-07
-0.857724,-1.04554,-0.80805,-1.05124,0
-0.80805,-1.05124,-0.758569,-1.05843,1e-07
-0.758569,-1.05843,-0.709314,-1.06702,0
-0.709314,-1.06702,-0.660161,-1.07619,1e-07
-0.660161,-1.07619,-0.610174,-1.07736,0
-0.610174,-1.07736,-0.560569,-1.07109,1e-07
-0.560569,-1.07109,-0.511074,-1.06401,0
-0.511074,-1.06401,-0.461161,-1.06696,1e-07
-0.461161,-1.06696,-0.411329,-1.07105,0
-0.411329,-1.07105,-0.363298,-1.08494,3.95759e-08
-0.363298,-1.08494,-0.313336,-1.0869,1.40655e-09
-1,-1,-1.04745,-0.984226,7.63825e-08
-1.04745,-0.984226,-1.09551,-0.970444,0
-1.09551,-0.970444,-1.14457,-0.960789,1e-07
-1.14457,-0.960789,-1.19253,-0.946672,0
-1.19253,-0.946672,-1.24106,-0.934618,1e-07
-1.24106,-0.934618,-1.28849,-0.918788,0
-1.28849,-0.918788,-1.33738,-0.908307,1e-07
-1.33738,-0.908307,-1.38726,-0.904888,0
-1.38726,-0.904888,-1.43696,-0.910346,9.23743e-08
-1.43696,-0.910346,-1.48695,-0.91127,0
-1.48695,-0.91127,-1.53689,-0.908769,2.36797e-08
-1.53689,-0.908769,-1.58686,-0.906939,1.90052e-10
-1,-1,-0.954062,-0.98026,7.61735e-08
-0.954062,-0.98026,-0.906417,-0.965096,0
-0.906417,-0.965096,-0.861305,-0.943533,1e-07
-0.861305,-0.943533,-0.812536,-0.932506,0
-0.812536,-0.932506,-0.762537,-0.932712,1e-07
-0.762537,-0.932712,-0.712822,-0.92738,0
-0.712822,-0.92738,-0.662823,-0.927738,1e-07
-0.662823,-0.927738,-0.613043,-0.923059,0
-0.613043,-0.923059,-0.563153,-0.923394,4.96615e-08
-1,-0.5,-0.970438,-0.459675,7.13897e-08
-0.970438,-0.459675,-0.944043,-0.41721,0
-0.944043,-0.41721,-0.920641,-0.373024,1e-07
-0.920641,-0.373024,-0.895554,-0.329774,0
-0.895554,-0.329774,-0.865811,-0.289582,1e-07
-0.865811,-0.289582,-0.844137,-0.244524,0
-0.844137,-0.244524,-0.814473,-0.204274,6.91538e-08
-0.814473,-0.204274,-0.777738,-0.170354,0
-0.777738,-0.170354,-0.734227,-0.145722,7.38222e-09
-0.734227,-0.145722,-0.697506,-0.111786,3.69111e-09
-1,-0.5,-0.959558,-0.470599,7.676e-09
-0.959558,-0.470599,-0.924017,-0.435437,7.67529e-09
-1,-0.5,-0.9585,-0.472111,5.96913e-09
-0.9585,-0.472111,-0.921159,-0.43886,3.84893e-08
-0.921159,-0.43886,-0.877213,-0.415011,0
-0.877213,-0.415011,-0.832592,-0.392451,3.80343e-08
